id,name,spec,fac_id
TTE20222882,温湿度巡检仪,DP1/PT10-1/HU5-1,87628/87712/86805
TTE20222881,温湿度巡检仪,DP1/PT10-1/HU5-1,87630/87711/87802
TTE20222880,温湿度巡检仪,DP1/PT10-1/HU5-1,87626/87714/86806
TTE20222879,温湿度巡检仪,DP1/PT10-1/HU5-1,87627/87715/86813
TTE20222878,温湿度巡检仪,DP1/PT10-1/HU5-1,87629/87718/86808
TTE20222877,温湿度巡检仪,DP1/PT10-1/HU5-1,87625/87713/87804
TTE20222876,温湿度巡检仪,DP1/PT10-1/HU5-1,87620/87710/87803
TTE20222875,温湿度巡检仪,DP1/PT10-1/HU5-1,87624/87717/87806
TTE20222874,温湿度巡检仪,DP1/PT10-1/HU5-1,87623/7B902/86822
TTE20222873,温湿度巡检仪,DP1/PT10-1/HU5-1,87614/7A752/87805
TTE20222872,温湿度巡检仪,DP1/PT10-1/HU5-1,87605/86902/86815
TTE20182204,直流电源,PSS-3203,GES873939
TTE20131768,过程仪表校验仪,725,9588
BTTECLSZ00068,特稳携式校验仪,JY842,842B360
TTE20132280,特稳携式校验仪,JY820,82001606
TTE20171861,特稳携式校验仪,JY820,82002017
TTE20152076,特稳携式校验仪,JY820,82001799
TTE20110666,特稳携式校验仪,JY842,84200535
TTE20189319,特稳携式校验仪,JY820,82002137
TTE20189320,特稳携式校验仪,JY820,82002136
TTE20189321,特稳携式校验仪,JY820,82002138
TTE20171864,特稳携式校验仪,JY820,82002010
TTE20201052,特稳携式校验仪,JY820,82002411
TTE20191229,特稳携式校验仪,JY820,82002277
TTE20191228,特稳携式校验仪,JY820,82002276
TTE20150030,特稳携式校验仪,JY820,82001728
TTE20210905,特稳携式校验仪,JY820,82002529
TTE20210904,特稳携式校验仪,JY820,82002530
CBDSU2021041,秒表,/,/
CBDSU2021042,秒表,/,/
CBDSU2021043,秒表,/,/
CBDSU2021044,秒表,/,/
CBDSU2021045,秒表,/,/
CBDSU2021046,秒表,/,/
CBDSU2021047,秒表,/,/
CBDSU2021048,秒表,/,/
CBDSU2021049,秒表,/,/
CBDSU2021050,秒表,/,/
CBDSU2021051,秒表,/,/
CBDSU2021052,秒表,/,/
CBDSU2021053,秒表,/,/
CBDSU2021054,秒表,/,/
CBDSU2021055,秒表,/,/
391106311,数显推拉力计,ELK-10,391106311
TTE20172895,表面温度计校准器,2200/3125,B78736/B78563
